#,Odaberite spol,Koja je vaša dobna skupina?,Imate li trenutno status studenta?,Kakvo je vaše misljenje o INI kao poslodavcu?,Koliko vežete pojam 'INA' uz Hrvatsku i hrvatski nacionalani identitet?,Smatrate li da biste bili zadovoljni kao zaposlenik sa nekim od grana poslovanja koje INA nudi?,Vidite li sebe u budućnosti kao mogućeg zaposlenika INA grupacije?,Koje područje poslovanja INA grupacije smatrate osobno najzanimljivijim?,Industrija,Kreativnost,Ekologija,Znanost,Energetika,Hrvatska,Na što Vas asocira riječ   'karijera'  ?
1d270c321936816e896d026f93e0d3a9,žensko,od 18 do 20,1,7,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,Hrvatska,Na nešto za što u životu težimo te se oko toga trudimo
8e1b5f108564937e6c7c68513d47f2ac,muško,od 21 do 23,1,9,8,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,Kreativnost,,,Energetika,,Na cjeloživotno učenje i iskustvo
3ee6dfa517a7118b2d625cc09561ae32,muško,od 21 do 23,1,7,6,1,1,Rafinerije i marketing,Industrija,,,,Energetika,Hrvatska,"Karijera je za mene poslovna strana života, ono čime se odlučimo baviti čitavog života s ciljem zarade."
6524379f949f552d1afafe5bb7ea2b3c,muško,od 18 do 20,1,5,7,1,1,Rafinerije i marketing,Industrija,,,,Energetika,,Riječ karijera asocira me na životni poziv koji je usput i plaćen.
3b2699fe13f757d16b147de9e38b1425,žensko,od 18 do 20,1,5,4,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,"Karijera je svjestan odabor nacina zivota koji podrazumijeva odredene gubitke, ali i dobit. Samo je pitanje koliko smo spremni prihvatit i nosit se sa jednim i drugim."
e0edcfb67dc3f1e8326bdf9e1915b76c,žensko,od 18 do 20,1,5,7,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,Hrvatska,Cjeloživotni posao u kojem nam je cilj napredovati do kraja naših mogućnosti.
60795ca544b824244c624cef3f0061ca,žensko,od 24 do 26,0,6,6,1,1,Rafinerije i marketing,Industrija,,,Znanost,,,Biti uspješan u onome što radiš.
453eb13ac0088fecd437b6cdcb4c9860,muško,od 21 do 23,1,5,6,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,Hrvatska,Osamostaljenje i uspješnost u onom što radimo
d7868f30310e06b8ed16152a2a81d44b,žensko,od 21 do 23,1,5,5,1,1,Rafinerije i marketing,Industrija,,,,Energetika,,"Žrtva privatnog zbog poslovnog ;) Karijera jest razvoj znanja,vještina i sposobnosti koje doprinose profesionalnom, ali i osobnom razvoju."
02e665998b616476e6fe1d645afa39bd,muško,od 21 do 23,0,6,5,1,1,IT potpora,Industrija,,,,Energetika,Hrvatska,"Posao, napredovanje, razvijanje "
6ec33d867b55c7ec11f32914b5cd41dc,žensko,od 21 do 23,1,7,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,Znanost,Energetika,,"Karijera je za mene posvećivanje svom poslu i struci, trud i upornost u svojem radu te davanje prioriteta poslu u životu s ciljem što veće uspješnosti."
cd75cea7bc41eb735f7cbbf35423dcba,muško,od 18 do 20,1,6,8,1,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,"Put, niz poslova i događaja te uspjeha jedne osobe."
931b5e0c43fc7565ecb0ad03646a119d,žensko,27 ili stariji,0,4,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,Hrvatska,"Napredovanje, osobno i profesionalno."
09fcbc95ea15a7b92a867dcff060382d,žensko,od 18 do 20,1,9,9,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,posao
d7b808368ada1f854351f0c7ba28d090,žensko,od 18 do 20,1,9,8,1,1,Logistička potpora,Industrija,,Ekologija,,Energetika,Hrvatska,Izgradnja vlastitih ambicija.
2a6e324f18ca04b8f641551595ad476e,muško,od 18 do 20,1,3,6,1,0,IT potpora,,,,,Energetika,,rad
9076aedad12b5d99f9841f24294e75ec,žensko,od 21 do 23,1,8,9,1,1,Logistička potpora,Industrija,,,,,,Uspjeh
3e1bc5bf3f6c2364915be59b1fb57158,žensko,od 18 do 20,1,9,7,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,Hrvatska,Dio moje uspješne budućnosti.
ae25fb752a01554fcf90d63aa312e70c,žensko,od 21 do 23,1,6,5,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Dobar posao i zadovoljstvo.
4d9cdfd8d0f118050ee1fd1b9638048b,muško,27 ili stariji,0,5,8,1,0,Financije,Industrija,,,,Energetika,,profesionalni put
9b04a8a272fa713bda1d3c9d5653fa53,muško,od 18 do 20,1,5,7,0,0,IT potpora,Industrija,,,,,,Novac
9d9f0787f6fa799fe22514b65019ef2a,žensko,od 21 do 23,1,8,8,1,0,Rafinerije i marketing,Industrija,,,,Energetika,Hrvatska,penjanje po poslovnoj ljestvici
b8f108bcf18f7472b3b82479c3663eb8,žensko,od 21 do 23,1,5,3,1,1,IT potpora,Industrija,,,,Energetika,,uspjeh postignut vlastitim radom 
6e0af2e38c8992ea01c9c43fb8e44cd0,žensko,od 21 do 23,1,9,7,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,"Poslovni napredak, upornost, marljivost "
b38cd86d861547a8b65a3555f39a6909,žensko,od 18 do 20,1,5,7,1,0,Logistička potpora,Industrija,,,,,,"Napredovanje i usavršavanje u svom poslu u korist vlastite dobrobiti, ali i dobrobiti društva."
d0f3fd4e3adb1c254f4352717e4beeb5,muško,od 21 do 23,1,5,6,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,Asocira me na posao
fad1382d04bbf83ae2af5d69bca054ae,muško,od 21 do 23,1,5,5,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,sve vec navedeno
e69fb4062b42ea6b65ea9fac8b0fef4e,žensko,od 18 do 20,1,9,6,1,1,Logistička potpora,Industrija,,,,Energetika,,"Ambicioznost, trud, uspjeh."
4015051f49a12f88a1e8a3defb272ef6,žensko,od 18 do 20,1,5,9,1,1,Istraživanje i proizvodnja nafte i plina,,,Ekologija,,Energetika,,karijera-zanimanje za zivot
bb93d3aee9dc9c862525a02f2de1b877,žensko,od 21 do 23,1,7,2,0,0,IT potpora,Industrija,,,,Energetika,,Na budućnost i uspjeh ili neuspjeh u odabranom području rada.
10fabf83ebda5d022f7476da16a65936,žensko,od 21 do 23,1,5,7,1,1,Rafinerije i marketing,Industrija,,,,Energetika,,Izrazita stručnost u području profesionalnog djelovanja te unutarnje zadovoljstvo istim. 
992aa5219f8eb57d2d5c8d24d47a59fa,žensko,od 18 do 20,1,9,9,1,1,Logistička potpora,,,,,Energetika,Hrvatska,Svo nase iskustvo koje steknemo unutar jednog zanimanja. 
956a63a66bd9eb983124895bff755b3d,muško,od 21 do 23,1,6,7,1,1,Financije,Industrija,,,,Energetika,,Način na koji odlučimo postići svoje ciljeve u životu i doći do stvari koje će nam ispunjavati život.
c8886dee9d66ee59997ef1f2279717e0,muško,od 21 do 23,1,5,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,posao
9a2deb9337683856dae3b72f883a72e9,muško,od 21 do 23,1,5,7,1,0,Rafinerije i marketing,,,,,Energetika,,Posao 
1e698805a61f7b12cdd6141639ba6c41,muško,od 18 do 20,1,5,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,dio života
a09ad533cb28b01e76501db82ecc2d6b,muško,od 18 do 20,1,7,3,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Nešto čemu smo posvetili dio života. 
cbb9977cb9e7ffc2bf02bc811afb7b71,muško,od 21 do 23,1,5,6,1,0,Logistička potpora,Industrija,,,,Energetika,,na novac i uspjeh
c9517cc8f37bd501a320a84665611919,žensko,od 21 do 23,1,5,7,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,Hrvatska,Doprinos u svijetu
d6a2b5e4fc3a493480fe5bc0777f2ee3,muško,od 18 do 20,1,7,9,1,1,IT potpora,Industrija,,,,,,"Posao, iskustvo, napredovanje."
8e46bc87a034b9e7ef2935ec968242b3,žensko,od 21 do 23,1,9,9,1,1,Istraživanje i proizvodnja nafte i plina,,Kreativnost,Ekologija,,Energetika,Hrvatska,"Posao, novac"
a06fd9ebb42d1fc41593e0a90dcd665c,muško,od 18 do 20,1,7,3,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,"Iskustvo, znanje i poznanstva koja se steknu radom u jednoj profesiji"
fa2f20c5ef7e74e6ef76766c9a7cfd0d,muško,od 21 do 23,1,5,6,1,1,Rafinerije i marketing,Industrija,,,,,,dugotrajno zaposlenje
33b70cc452f5305c336e55cc7aecfb81,muško,od 21 do 23,1,5,4,0,0,IT potpora,Industrija,,,,,,poslovno ostvarenje
d1f900b4282ed6cba8cfc3d9f9581644,muško,od 18 do 20,1,3,4,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,"Posao, novac, zaposlenost u smislu prezauzet za ikakve druge zanimacije"
583b02d4606c5eb9447da0a8081d8890,muško,od 21 do 23,1,7,7,1,1,IT potpora,Industrija,,,,Energetika,,"Sva radna mjesta pojedinca, od prvog posla do mirovine."
517c90e12bcbb0c8ce23a18fd520fe1c,muško,od 21 do 23,1,3,3,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,"Asocira me na uspješno izvršavanje posla, i napredovanje tijekom zaposlenja"
56d682aaacf3e8e40584741b7092a84a,muško,od 21 do 23,1,6,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,posao i uspjeh
9712ba0f45b6805276b94f8126585d9e,žensko,od 21 do 23,1,7,9,1,1,Financije,Industrija,,,,Energetika,,Riječ karijera me asocira na jako dobar uspijeh i dobru zaradu.
e5861540dfc6bd894e18db7a35a14f59,žensko,od 18 do 20,1,5,8,1,1,Financije,Industrija,Kreativnost,Ekologija,,Energetika,,odraz truda i znanja svake osobe vidi se u njegovoj karijeri
d32aa5ee135a189eb3c147fb5b816777,žensko,od 21 do 23,1,5,6,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,napredovanje u struci uz davanje maksimuma kako bi što kvalitetnije odrađivali svoj posao. 
be6c17af837537c48c52c68add59673e,muško,od 18 do 20,1,4,7,1,1,Rafinerije i marketing,Industrija,,,,,,Poštovanje
ce9327e40c3851882eef9d3c946681d0,žensko,od 18 do 20,1,5,9,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,"Dugotrajan trud, rad i upornost koji rezultiraju stalnim napredovanjem u poslu i dobrom zaradom."
d0c7f9b8e1c3a6905c4aeecddcfdcbd1,muško,od 18 do 20,1,6,7,1,0,IT potpora,Industrija,,,Znanost,Energetika,,Poslovni put i razvoj pojedinca
ed7c59927c0d187d4f60befee345a011,žensko,od 21 do 23,1,5,4,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,Ekologija,,Energetika,,"rijec karijera me asocirna na to da nakon faksa, ili srednje skole se zaposlis na nekom mjestu i posvetis se tom radnom mjestu ucinis posao, sebe boljim"
8863e0daa68b15126c662f670ea40bc1,muško,od 21 do 23,1,5,7,1,1,IT potpora,,,,,Energetika,,novac
c45a1b9310e6a311c2acac22542ab1eb,muško,od 18 do 20,1,5,5,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Stalno zaposlenje po završetku RGNF-a. 
771840ff935912cb29f1463f23a2b0ca,žensko,od 18 do 20,1,5,9,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,Znanost,,,"Neophodan pojam u životu. Ako je imaš, car si, ako ne, ..."
757ff0ef9a6e2bad680ac84958692abd,muško,od 18 do 20,1,5,6,1,1,IT potpora,Industrija,,,,Energetika,,Obavljanje poslova u zamjenu za novac.
7d4d90e14d0b2d9abc20b5fbfe052457,muško,od 18 do 20,1,5,1,0,0,Logistička potpora,Industrija,,,,Energetika,,rad 
86e46a8cc488053105bc93c0b3328767,muško,od 18 do 20,1,5,4,1,0,Financije,Industrija,,,,,,Prenapuhana riječ. Stvari su postavljene na način da je najbitnije zaraditi. Najbitnije je biti sretan zbog onoga što radiš.
07c7338cf102f68159154db6ddd61b20,muško,od 18 do 20,1,5,1,1,1,Logistička potpora,Industrija,,,,,,
2416d26420f70e081673ea63b794c2f9,muško,od 21 do 23,1,5,6,1,0,IT potpora,,,,,Energetika,,Korporativni svijet.
48678914bf127e1a01f616c1827f6436,muško,od 18 do 20,1,7,3,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,Znanost,Energetika,,Mogućnost pojedinca da napreduje od izabranog školovanja do visokih pozicija u nekoj tvrci.
954a2f32d04f33e557c3f4b18a7ce9a2,muško,od 21 do 23,1,8,8,1,1,Logistička potpora,Industrija,,,Znanost,,Hrvatska,niz uspjeha u području posla koje ostavlja osjećaj osobnog zadovoljstva što u konačnici dovodi do zadovoljstva vlastitim životom
22a220a45c35ad74728dec7f0b1a51af,žensko,od 21 do 23,1,4,6,1,1,Rafinerije i marketing,,,,,Energetika,,"POsao, napredovanje"
75155495d5e23e02e13a83196b45a403,muško,od 21 do 23,1,7,7,1,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,Na postupnu izgradnju suojesnog zivota.
a05ae1750311ba15bae5f47cb633c404,žensko,od 18 do 20,1,5,7,0,0,Financije,Industrija,,,,Energetika,,Ispunjenje vlastitih ambicija 
bd6c910ea8c323c6f17128fd18e17947,žensko,od 18 do 20,1,5,7,1,0,Rafinerije i marketing,,,,,Energetika,,Uspješnost u odabranom zanimanju.
f880ca7e50b41bf5eff3511c4be13821,žensko,od 21 do 23,1,5,2,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,Kreativnost,,,Energetika,,Ustrajnost u svom poslu te sklonost napredovanja u samome.
d631c878452e9176b6fb0ae1344c9f5c,žensko,od 18 do 20,1,5,4,1,1,Financije,Industrija,,,,,,buduće zaposljenje
04fd98995642da53dbc8b69f6731b134,muško,od 18 do 20,1,8,7,1,1,Rafinerije i marketing,Industrija,,,,Energetika,,mogućnost
a4a774da735f8c104ba9612823167b39,žensko,od 18 do 20,1,5,1,1,1,Rafinerije i marketing,Industrija,,,,,,"Građenje iskustva, znanja, reputacije i moći u nekom zanimanju kojeg pojedinac dugo obavlja i, idealno, voli."
82734b4b7e1d335403b5c2324fb18950,muško,od 18 do 20,1,6,6,1,0,IT potpora,Industrija,,,,,,rad  
f90061d5aa146ae398f1e28b0db83757,žensko,od 21 do 23,1,7,8,1,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,Životno usmjerenje prema uspjehu
d2ec429b96c261d32eb93d0860c0d916,muško,od 18 do 20,1,7,5,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,Karijera je simbioza volje i rada
23f486cc06e0fe27d500d73d0297b954,žensko,od 21 do 23,1,5,6,1,0,Financije,Industrija,,,,,,novac
dedbafbbbca322dac9d113924f4e9a44,muško,od 24 do 26,0,4,3,0,0,IT potpora,,,,,Energetika,,napredak
45410744eb50d3be87474e7edaa70be0,žensko,od 21 do 23,1,5,5,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,Novac
40087499788a4d31751781ec2549014a,muško,od 21 do 23,1,5,7,1,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,"Ispunjenje, emocionalno, fizičko i psihičko"
218bef4c485f202c2fc0a2efb3e86958,muško,od 21 do 23,1,5,8,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,Ekologija,Znanost,Energetika,,"Ostvarenje profesionalnih snova. Ispunjenje u fizičkom, psihičkom i emocionalnom smislu. "
0ace1a0fac0494eac9c5f202420fc62e,muško,od 21 do 23,1,5,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,Ekologija,Znanost,Energetika,,"Sreća i ispunjenost, ostvarenje profesionalnih snova. "
2e4d8f187c1a986f97561cdfa25be97a,muško,od 18 do 20,1,2,5,0,0,IT potpora,Industrija,,,,,,strucno usavrsavanje i profit od toga
1d0f807670b0f1339e7f3039e72b02d5,muško,od 21 do 23,1,5,5,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Uspješan poslovni život
a184900f02020fcb72188b8b47b225df,žensko,od 21 do 23,1,5,3,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,I
2a6a95b6d8debb982df09fb336ff3eb0,žensko,od 21 do 23,1,5,2,0,0,Rafinerije i marketing,Industrija,,,,Energetika,,fhh
23131f85b756a84840bf880c32132b8d,muško,od 21 do 23,1,5,5,0,0,IT potpora,Industrija,,,,,,Posao koji ću obavljati sa zadovoljstvom. 
bb1ebe25b62fa9fbfd451269d3e957ae,žensko,od 21 do 23,1,5,3,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,a
53bd528e3c05919aa86952602c97bb42,žensko,od 21 do 23,1,5,5,0,0,Rafinerije i marketing,Industrija,,,,,,"profesionalnost, uspjesnost"
85c8d17fc68cf3307686c369b972581f,žensko,od 21 do 23,1,5,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Uspjeh
ee2515c01501eecdd5749e90f5cf433c,žensko,od 21 do 23,1,9,1,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,uspijeh
6e8aa5e246963c22714d71863a290257,žensko,od 18 do 20,1,6,5,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,čokčkč
9e8687f3ea72919e8cb9372e2b9c46d8,žensko,od 18 do 20,0,5,7,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,Hrvatska,"Na osobni razvitak, napredovanje, razvoj , učenje "
74e8d92345f927059182d9e1ceb6afa2,žensko,od 18 do 20,0,5,5,1,0,Rafinerije i marketing,,Kreativnost,Ekologija,,,,ina
2a3b8fc79ab9f92b4eef39afe2c73a3a,žensko,od 18 do 20,1,6,6,1,0,IT potpora,Industrija,,,,,,Nešto čemu posvetiš većinu svog života.
c78c1e2f3b7724512f18bb8555c37987,žensko,od 18 do 20,1,5,5,0,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,na 
49b31a01a5a6cc8c8b6c34f1baa634e7,žensko,od 21 do 23,1,5,5,1,1,Financije,,,,,Energetika,,1
b0bf508d18bc5a8cbe395fe018b9decc,žensko,od 21 do 23,1,5,1,0,0,IT potpora,Industrija,,,,,,ono šta ja nikad neću imat
17654bfeaa8640f18359e7dbcb3ce4f9,žensko,od 18 do 20,1,5,5,1,0,Rafinerije i marketing,Industrija,,,,,,N
fc981e41c7927b87bab2c447cf040145,žensko,27 ili stariji,0,5,4,1,1,Istraživanje i proizvodnja nafte i plina,,,Ekologija,,Energetika,,napredovanje u nekom zvanju
bbff4df20790521f255e60df6863c662,muško,27 ili stariji,0,1,1,0,0,Rafinerije i marketing,,,,,,Hrvatska,
e1a2bc83b661d7ae6aa0107e1f942471,muško,od 21 do 23,1,5,8,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,"Na uspješnost i snalažljivost, na sumu svih kvaliteta i sposobnosti pojedinca."
1f34a881c95985ddc48f000dbf9866f0,žensko,od 21 do 23,1,5,6,1,0,Financije,Industrija,,,,,,uspjeh
